Source;Type;Target;Weight
Анна;Undirected;Кривосудов;1
Анна;Undirected;Прямиков;1
Анна;Undirected;София;1
Анна;Undirected;Фекла;1
Анна;Undirected;Атуев;5
Анна;Undirected;Бульбулькин;5
Анна;Undirected;Добров;7
Анна;Undirected;Кохтин;6
Анна;Undirected;Кривосудов;9
Анна;Undirected;Наумыч;7
Анна;Undirected;Паролькин;5
Анна;Undirected;Праволов;6
Анна;Undirected;Прямиков;6
Анна;Undirected;Радбын;5
Анна;Undirected;София;12
Анна;Undirected;Фекла;9
Анна;Undirected;Хватайко;4
Архип;Undirected;Кривосудов;1
Архип;Undirected;Наумыч;2
Архип;Undirected;Фекла;1
Атуев;Undirected;Бульбулькин;12
Атуев;Undirected;Добров;7
Атуев;Undirected;Кохтин;12
Атуев;Undirected;Кривосудов;12
Атуев;Undirected;Наумыч;4
Атуев;Undirected;Паролькин;12
Атуев;Undirected;Праволов;7
Атуев;Undirected;Прямиков;1
Атуев;Undirected;Радбын;11
Атуев;Undirected;Радбыя;1
Атуев;Undirected;София;5
Атуев;Undirected;Фекла;6
Атуев;Undirected;Хватайко;9
Бульбулькин;Undirected;Добров;7
Бульбулькин;Undirected;Кохтин;12
Бульбулькин;Undirected;Кривосудов;12
Бульбулькин;Undirected;Наумыч;4
Бульбулькин;Undirected;Паролькин;12
Бульбулькин;Undirected;Праволов;7
Бульбулькин;Undirected;Прямиков;1
Бульбулькин;Undirected;Радбын;11
Бульбулькин;Undirected;Радбыя;1
Бульбулькин;Undirected;София;5
Бульбулькин;Undirected;Фекла;6
Бульбулькин;Undirected;Хватайко;9
Добров;Undirected;Кохтин;7
Добров;Undirected;Кривосудов;12
Добров;Undirected;Паролькин;7
Добров;Undirected;Праволов;2
Добров;Undirected;Прямиков;6
Добров;Undirected;Радбын;7
Добров;Undirected;София;5
Добров;Undirected;Фекла;3
Добров;Undirected;Хватайко;4
Кохтин;Undirected;Кривосудов;14
Кохтин;Undirected;Наумыч;7
Кохтин;Undirected;Паролькин;12
Кохтин;Undirected;Праволов;9
Кохтин;Undirected;Прямиков;1
Кохтин;Undirected;Радбын;11
Кохтин;Undirected;Радбыя;1
Кохтин;Undirected;София;5
Кохтин;Undirected;Фекла;8
Кохтин;Undirected;Хватайко;9
Кривосудов;Undirected;Наумыч;6
Кривосудов;Undirected;Паролькин;12
Кривосудов;Undirected;Праволов;9
Кривосудов;Undirected;Прямиков;5
Кривосудов;Undirected;Радбын;11
Кривосудов;Undirected;Радбыя;1
Кривосудов;Undirected;София;10
Кривосудов;Undirected;Фекла;16
Кривосудов;Undirected;Хватайко;9
Наумыч;Undirected;Паролькин;4
Наумыч;Undirected;Праволов;7
Наумыч;Undirected;Прямиков;1
Наумыч;Undirected;Радбын;4
Наумыч;Undirected;София;4
Наумыч;Undirected;Фекла;7
Наумыч;Undirected;Хватайко;4
Паролькин;Undirected;Праволов;7
Паролькин;Undirected;Прямиков;1
Паролькин;Undirected;Радбын;11
Паролькин;Undirected;Радбыя;1
Паролькин;Undirected;София;5
Паролькин;Undirected;Фекла;6
Паролькин;Undirected;Хватайко;9
Праволов;Undirected;Прямиков;1
Праволов;Undirected;Радбын;6
Праволов;Undirected;Радбыя;1
Праволов;Undirected;София;5
Праволов;Undirected;Фекла;6
Праволов;Undirected;Хватайко;7
Прямиков;Undirected;Радбын;1
Прямиков;Undirected;София;6
Прямиков;Undirected;Фекла;3
Прямиков;Undirected;Хватайко;1
Радбын;Undirected;София;5
Радбын;Undirected;Фекла;5
Радбын;Undirected;Хватайко;8
Радбын;Undirected;Фекла;1
Радбын;Undirected;Хватайко;1
София;Undirected;Фекла;9
София;Undirected;Хватайко;4
Фекла;Undirected;Хватайко;5
